고유번호,지역코드,숙박종류,이름,주소,상세주소,전화번호
293,12,04,브이모텔,전북 전주시 덕진구 산정동,857-10,063-0247-0553
292,12,04,뉴성원모텔,전북 전주시 덕진구 산정동,866-5,063-0243-4477
137,12,04,백제의성,전북 전주시 덕진구 금암동,763-1,063-0274-2842
126,12,04,럭셔리모텔,전북 전주시 덕진구 우아동3가,752-13,063-0245-7923
302,12,04,메이저 모텔,전북 전주시 덕진구 우아동2가,919-13,063-0241-3003
104,12,04,이사벨모텔,전북 전주시 덕진구 산정동,861-7,063-0242-7725
314,12,04,포시즌 모텔,전북 전주시 덕진구 산정동,866-2,063-0245-0933
315,12,04,드라이브인 무인텔,전북 전주시 덕진구 금암동,764-14,063-0714-3303
316,12,04,스카이쇼 무인텔,전북 전주시 덕진구 금암동,474-7,063-0714-3344
290,12,04,휴 모텔,전북 전주시 덕진구 산정동,872-2,063-0245-7900
96,12,04,폭스모텔,전북 전주시 덕진구 산정동,857-11,063-0241-0568
149,12,04,굿모닝모텔,전북 전주시 덕진구 금암동,763-11,063-0251-9948
120,12,04,필모텔,전북 전주시 덕진구 금암동,763-6,063-0251-7221
287,12,04,뷰티모텔,전북 전주시 덕진구 금암동,474-1,063-0251-5657
307,12,04,벤호텔,전북 전주시 덕진구 금암동,698-4,063-0276-8661
147,12,04,르시엘호텔,전북 전주시 덕진구 산정동,860-4,063-0245-4848
142,12,04,리베라모텔,전북 전주시 덕진구 우아동3가,748-29,063-0242-9902
145,12,04,르네상스모텔,전북 전주시 덕진구 우아동3가,748-46,063-0241-0782
124,12,04,임페리얼 모텔,전북 전주시 덕진구 우아동3가,748-63,063-0246-2914
135,12,04,두바이호텔,전북 전주시 덕진구 우아동2가,928-1,063-0247-4711
101,12,04,태극모텔,전북 전주시 덕진구 산정동,858-5,063-0245-8700
249,12,04,화려한외출1,전북 전주시 완산구 중화산동2가,139-1,063-0228-5656
277,12,04,뉴폭스모텔,전북 전주시 완산구 효자동3가,1532-7,063-0229-5380
280,12,04,캘리포니아 모텔,전북 전주시 완산구 중화산동2가,657-1,063-0221-4747
269,12,04,파라다이스모텔,전북 전주시 완산구 중화산동2가,661-4,063-0226-2111
273,12,04,자유세상,전북 전주시 완산구 중화산동2가,664-7,063-0224-9090
281,12,04,조아서,전북 전주시 완산구 중화산동2가,650-2,063-0222-1694
311,12,04,메트로21 모텔,전북 전주시 덕진구 우아동2가,928-13,063-0244-4194
275,12,04,로데오모텔,전북 전주시 완산구 중화산동2가,139-4,063-0227-5400
312,12,04,래미안모텔,전북 전주시 덕진구 우아동2가,925-4,063-0244-3360
285,12,04,비스트모텔,전북 전주시 덕진구 금암동,474-2,063-0277-6985
286,12,04,큐피트,전북 전주시 덕진구 산정동,867-5,063-0243-2292
116,12,04,홍콩모텔,전북 전주시 덕진구 산정동,861-5,063-0245-2825
284,12,04,베니스모텔,전북 전주시 완산구 중화산동2가,660-6,063-0228-5024
264,12,04,황토모텔,전북 전주시 덕진구 금암1동,764-6,063-0251-6675
102,12,04,짬모텔,전북 전주시 덕진구 산정동,875-1,063-0245-5852
278,12,04,갤러리모텔,전북 전주시 덕진구 덕진동1가,1174-3,063-0277-8730
276,12,04,코아모텔,전북 전주시 완산구 서노송동,660-43,063-0271-1667
138,12,04,맨하탄모텔,전북 전주시 덕진구 우아동3가,748-15,063-0242-8386
122,12,04,토마토모텔,전북 전주시 덕진구 금암동,701-1,063-0278-8702
86,12,04,제이모텔,전북 전주시 완산구 고사동,227-32,063-0273-2233
279,12,04,스위트허브,전북 전주시 완산구 중화산동2가,657-2,063-0221-5870
282,12,04,추억만들기,전북 전주시 완산구 중화산동2가,657-6,063-0228-8889
283,12,04,W모텔,전북 전주시 완산구 중화산동2가,660-7,063-0237-3030
300,12,04,플라워모텔,전북 전주시 덕진구 우아동2가,930-13,063-0245-1662
303,12,04,리치모텔,전북 전주시 덕진구 우아동2가,920-4,063-0247-6200
247,12,04,Q모텔,전북 전주시 완산구 중화산동2가,139-3,063-0236-9081
295,12,04,베니스모텔,전북 전주시 덕진구 산정동,860-1,063-0243-5475
261,12,04,화려한외출2,전북 전주시 완산구 중화산동2가,142-19,063-0228-5662
296,12,04,갤럭시모텔,전북 전주시 덕진구 산정동,859-3,063-0247-1133
297,12,04,제이모텔,전북 전주시 덕진구 산정동,868-4,063-0243-5842
299,12,04,허니무인텔,전북 전주시 덕진구 산정동,875-8,063-0261-6896
129,12,04,올렛모텔,전북 전주시 덕진구 우아동3가,748-44,063-0243-4194
306,12,04,블루원호텔,전북 전주시 덕진구 금암동,699-4,063-0251-3385
308,12,04,선녀와나무꾼호텔,전북 전주시 덕진구 덕진동2가,200-2,063-0276-9587
309,12,04,CF모텔,전북 전주시 덕진구 우아동2가,924-2,063-0244-3414
289,12,04,드라마 모텔,전북 전주시 덕진구 산정동,863-3,063-0247-2223
272,12,04,엠파이어모텔,전북 전주시 완산구 중화산동2가,664-4,063-0236-7070
241,12,04,백악관 모텔,전북 전주시 완산구 중화산동2가,657-3,063-0226-3787
242,12,04,산책한옥호텔,전북 전주시 완산구 중화산동2가,649-4,063-0236-4005
266,12,04,신라의달밤,전북 전주시 덕진구 금암1동,763-10,063-0274-2836
243,12,04,뱅크,전북 전주시 완산구 중화산동2가,661-10,063-0227-0290
245,12,04,스페셜모텔,전북 전주시 완산구 중화산동2가,143-3,063-0226-8756
118,12,04,하얏트모텔,전북 전주시 덕진구 우아동3가,748-40,063-0242-0038
133,12,04,사랑만들기모텔,전북 전주시 덕진구 우아동3가,752-11,063-0242-8822
304,12,04,베르사체모텔,전북 전주시 덕진구 우아동2가,919-11,063-0241-8088
267,12,04,티파니모텔,전북 전주시 덕진구 금암동,701-4,063-0252-7451
268,12,04,이브의궁전,전북 전주시 덕진구 금암동,474-5,063-0253-7877
248,12,04,화이브모텔,전북 전주시 완산구 중화산동2가,664-6,063-0226-7495
111,12,04,러브레터 모텔,전북 전주시 덕진구 산정동,875-13,063-0245-4477
112,12,04,？모텔,전북 전주시 덕진구 산정동,868-1,063-0244-6408
1221,12,04,또마하우스,전북 전주시 덕진구 덕진동1가,1277-4,063-0255-5757
1222,12,04,천년의 사랑 (천년의 사랑),전북 전주시 덕진구 산정동,874-3,063-0242-4839
151,12,04,XO모텔,전북 전주시 덕진구 금암동,699-6,063-0274-8902
270,12,04,스웨덴 모텔,전북 전주시 완산구 중화산동2가,661-1,063-0225-8858
108,12,04,쉬리모텔,전북 전주시 덕진구 산정동,871-2,063-0247-1616
288,12,04,슈페리어 모텔,전북 전주시 덕진구 우아동3가,752-33,063-0242-9874
115,12,04,타임모텔,전북 전주시 완산구 효자동3가,1532-13,063-0229-3490
92,12,04,쿡모텔,전북 전주시 완산구 효자동3가,1537-8,063-0236-0036
246,12,04,a모텔,전북 전주시 완산구 중화산동2가,142-1,063-0229-0051
244,12,04,수호천사,전북 전주시 완산구 중화산동2가,143-17,063-0229-3542
95,12,04,피아노모텔,전북 전주시 덕진구 산정동,863-1,063-0242-7333
93,12,04,씨투무인텔,전북 전주시 완산구 효자동3가,1537-12,063-0229-5672
313,12,04,야모텔,전북 전주시 덕진구 우아동2가,924-5,063-0242-0375
310,12,04,허브모텔,전북 전주시 덕진구 우아동2가,919-1,063-0245-5454
294,12,04,전주호텔,전북 전주시 덕진구 산정동,858-3,063-0247-3333
271,12,04,알프스모텔,전북 전주시 완산구 중화산동2가,664-3,063-0224-9180
274,12,04,엘에이모텔,전북 전주시 완산구 중화산동2가,664-2,063-0225-8047
128,12,04,우아미모텔,전북 전주시 덕진구 우아동2가,928-5,063-0247-3300
291,12,04,현대모텔,전북 전주시 덕진구 산정동,872-7,063-0241-7794
305,12,04,히딩크 모텔,전북 전주시 덕진구 우아동2가,919-8,063-0242-5665
94,12,04,쇼모텔,전북 전주시 완산구 효자동3가,1532-13,063-0714-2100
265,12,04,고구려후예 모텔,전북 전주시 덕진구 금암1동,763-13,063-0274-2839
106,12,04,아모르모텔,전북 전주시 덕진구 산정동,868-2,063-0242-8465
298,12,04,아이리스 모텔,전북 전주시 덕진구 산정동,875-9,063-0242-1250
262,12,04,연일모텔,전북 전주시 완산구 태평동,7-9,063-0253-2255
301,12,04,우아장모텔,전북 전주시 덕진구 우아동3가,752-15,063-0241-0477
1608,12,04,호펠 99,전북 전주시 덕진구 우아동2가,929-10,063-0246-5333
1406,12,04,카멜리아[우수숙박시설 굿스테이],전북 전주시 덕진구 산정동,870-5 번지,063-0243-9900
1463,12,04,호텔 린하우스[우수숙박시설 굿스테이],전라북도 전주시 산정동,874-3,063-0244-5585
1223,12,04,홀인원모텔[우수숙박시설 굿스테이],전주시 완산구 다가동 3가,64-43번지,063-0232-7123
1865,12,04,비지니스 모텔(우수숙박업소),전북 전주시 덕진구 금암동,462-8,063-0276-5858
1905,12,04,에드가모텔,전북 전주시 덕진구 산정동,859-3,050-7962-4345
